student_id,age,gender,academic_level,study_hours,self_study_hours,online_classes_hours,social_media_hours,gaming_hours,sleep_hours,screen_time_hours,exercise_minutes,caffeine_intake_mg,part_time_job,upcoming_deadline,internet_quality,mental_health_score,focus_index,burnout_level,productivity_score,prediccion,real,recomendaciones
1629,20,Female,High School,4.18,0.23,3.64,2.59,0.92,7.66,10.63,8,485,0,1,Good,1,16.18,65.82,1.45,0,0,Nivel de agotamiento alto - incluir pausas y descanso | Buscar apoyo en el servicio de bienestar universitario
2954,23,Male,Postgraduate,2.27,1.96,2.99,2.34,2.44,7.17,6.11,20,344,0,0,Poor,2,20.11,30.69,14.64,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
4487,24,Female,Postgraduate,3.87,2.63,2.54,3.71,1.3,7.69,9.6,60,159,0,1,Poor,2,19.95,56.62,18.53,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
3491,25,Other,Undergraduate,4.34,2.85,3.48,0.98,1.48,7.35,12.25,145,81,1,1,Good,4,34.44,61.53,29.15,0,0,Nivel de agotamiento alto - incluir pausas y descanso | Buscar apoyo en el servicio de bienestar universitario
1145,21,Male,Postgraduate,5.25,3.09,0.79,4.0,0.0,7.75,8.47,63,170,0,1,Poor,2,19.86,47.05,31.78,0,0,Buscar apoyo en el servicio de bienestar universitario
273,22,Male,Postgraduate,7.24,2.49,1.18,2.32,2.86,6.02,5.39,70,155,1,1,Good,1,25.16,68.74,25.42,0,0,Nivel de agotamiento alto - incluir pausas y descanso | Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
3138,16,Female,Postgraduate,3.15,0.87,2.12,5.51,1.83,8.56,8.45,16,126,0,1,Good,4,16.4,38.43,23.37,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Buscar apoyo en el servicio de bienestar universitario | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio
1013,25,Other,Postgraduate,4.54,0.75,2.4,2.58,0.76,7.6,4.84,85,117,0,1,Poor,2,28.49,36.21,22.48,0,0,Buscar apoyo en el servicio de bienestar universitario
2520,16,Female,Undergraduate,3.35,5.12,2.17,4.03,1.04,5.58,4.58,73,434,1,1,Good,10,32.07,65.05,32.03,0,0,Aumentar horas de estudio a minimo 6 horas diarias | Nivel de agotamiento alto - incluir pausas y descanso | Reducir redes sociales y videojuegos - invertir ese tiempo en estudio | Establecer rutina de sueno de minimo 7 horas diarias
767,25,Other,Undergraduate,5.86,2.63,2.22,1.61,1.99,7.32,5.13,139,128,1,1,Average,2,24.86,50.46,28.47,0,0,Buscar apoyo en el servicio de bienestar universitario
