param_classifier__criterion,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,mean_test_score,std_test_score,rank_test_score
entropy,5,2,5,0.8689498746867168,0.022547777734503407,1
entropy,5,2,10,0.8689498746867168,0.022547777734503407,1
entropy,5,1,2,0.8689498746867168,0.022547777734503407,1
entropy,5,1,5,0.8689498746867168,0.022547777734503407,1
entropy,5,1,10,0.8689498746867168,0.022547777734503407,1
entropy,5,2,2,0.8689498746867168,0.022547777734503407,1
entropy,5,4,2,0.8679498746867168,0.02356484733958618,7
entropy,5,4,5,0.8679498746867168,0.02356484733958618,7
entropy,5,4,10,0.8679498746867168,0.02356484733958618,7
entropy,3,4,10,0.8624436090225565,0.02290618193626269,10
